iter	Passed	Remaining
594	8082	11057
595	8096	11044
596	8110	11031
597	8124	11018
598	8137	11003
599	8150	10990
600	8164	10976
601	8178	10963
602	8192	10950
603	8206	10937
604	8221	10925
605	8235	10912
606	8249	10899
607	8264	10887
608	8277	10873
609	8291	10860
610	8305	10846
611	8318	10833
612	8332	10819
613	8345	10805
614	8359	10792
615	8374	10780
616	8387	10766
617	8402	10754
618	8416	10742
619	8430	10728
620	8444	10715
621	8458	10702
622	8472	10689
623	8485	10675
624	8499	10661
625	8512	10647
626	8525	10633
627	8539	10619
628	8553	10606
629	8567	10593
630	8580	10579
631	8594	10566
632	8608	10552
633	8621	10538
634	8635	10525
635	8648	10512
636	8662	10498
637	8676	10485
638	8690	10471
639	8703	10458
640	8717	10445
641	8732	10432
642	8745	10418
643	8758	10404
644	8771	10389
645	8785	10376
646	8800	10364
647	8816	10353
648	8830	10340
649	8845	10328
650	8860	10316
651	8873	10302
652	8887	10289
653	8901	10276
654	8915	10262
655	8928	10249
656	8941	10234
657	8955	10221
658	8969	10207
659	8982	10194
660	8995	10179
661	9009	10166
662	9024	10153
663	9038	10140
664	9051	10127
665	9066	10114
666	9079	10100
667	9093	10087
668	9106	10073
669	9120	10060
670	9134	10046
671	9148	10033
672	9162	10020
673	9175	10005
674	9188	9991
675	9202	9978
676	9216	9964
677	9229	9950
678	9244	9938
679	9257	9924
680	9271	9911
681	9286	9899
682	9300	9885
683	9314	9872
684	9327	9858
685	9341	9845
686	9354	9831
687	9368	9818
688	9383	9805
689	9397	9792
690	9411	9779
691	9425	9765
692	9438	9751
693	9452	9738
694	9465	9724
695	9479	9711
696	9493	9697
697	9506	9683
698	9520	9670
699	9533	9656
700	9548	9643
701	9562	9630
702	9576	9617
703	9589	9603
704	9602	9588
705	9617	9576
706	9630	9562
707	9643	9548
708	9657	9534
709	9669	9520
710	9683	9506
711	9696	9491
712	9709	9478
713	9722	9463
714	9736	9450
715	9750	9437
716	9763	9422
717	9776	9408
718	9790	9395
719	9803	9381
720	9816	9367
721	9830	9354
722	9844	9340
723	9857	9326
724	9869	9311
725	9882	9297
726	9896	9283
727	9908	9268
728	9922	9255
729	9935	9241
730	9948	9227
731	9962	9213
732	9975	9200
733	9989	9186
734	10003	9173
735	10016	9159
736	10029	9145
737	10044	9132
738	10056	9117
739	10069	9103
740	10081	9088
741	10095	9074
742	10108	9060
743	10121	9046
744	10134	9032
745	10147	9018
746	10162	9005
747	10175	8991
748	10189	8978
749	10203	8965
750	10216	8951
751	10230	8938
752	10243	8924
753	10256	8910
754	10269	8895
755	10283	8882
756	10296	8868
757	10310	8855
758	10323	8841
759	10337	8827
760	10350	8813
761	10363	8799
762	10376	8785
763	10390	8771
764	10402	8757
765	10415	8743
766	10429	8729
767	10442	8715
768	10455	8701
769	10468	8687
770	10481	8673
771	10494	8659
772	10507	8645
773	10519	8630
774	10532	8615
775	10545	8602
776	10559	8588
777	10572	8574
778	10585	8560
779	10598	8546
780	10611	8532
781	10625	8519
782	10638	8505
783	10651	8491
784	10664	8477
785	10677	8463
786	10690	8449
787	10704	8435
788	10717	8421
789	10729	8407
790	10742	8393
791	10756	8379
792	10769	8365
793	10782	8351
794	10796	8338
795	10809	8324
796	10822	8310
797	10835	8296
798	10849	8283
799	10864	8270
800	10879	8257
801	10892	8244
802	10906	8231
803	10920	8217
804	10933	8203
805	10947	8189
806	10960	8176
807	10973	8162
808	10987	8148
809	11000	8135
810	11015	8122
